xflr5 v6.49

Plane name :, Datum-5
Polar name :, T1-50.0 ft/s-VLM2
Freestream speed :, 50.0 ft/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -2.000,     0.000,  -0.123147,   0.002343,   0.009893,   0.012236,   0.000103,   0.000015,   0.439934,  -0.000046,  -0.000046,   15.2400,   10.1328
   -1.500,     0.000,  -0.073106,   0.001907,   0.009847,   0.011754,   0.000102,   0.000014,   0.423750,  -0.000046,  -0.000046,   15.2400,   15.8152
   -1.000,     0.000,  -0.023047,   0.001607,   0.009807,   0.011413,   0.000102,   0.000014,   0.407024,  -0.000046,  -0.000046,   15.2400,   46.1862
   -0.500,     0.000,   0.027023,   0.001443,   0.009777,   0.011220,   0.000102,   0.000013,   0.389766,  -0.000046,  -0.000046,   15.2400,  -35.9937
    0.000,     0.000,   0.077096,   0.001415,   0.009754,   0.011169,   0.000102,   0.000013,   0.371978,  -0.000045,  -0.000045,   15.2400,  -11.4243
    0.500,     0.000,   0.127165,   0.001523,   0.009740,   0.011263,   0.000101,   0.000012,   0.353665,  -0.000045,  -0.000045,   15.2400,   -6.2031
    1.000,     0.000,   0.177223,   0.001768,   0.009715,   0.011483,   0.000101,   0.000012,   0.334826,  -0.000045,  -0.000045,   15.2400,   -3.9318
    1.500,     0.000,   0.227262,   0.002150,   0.009687,   0.011837,   0.000101,   0.000011,   0.315450,  -0.000045,  -0.000045,   15.2400,   -2.6610
    2.000,     0.000,   0.277274,   0.002667,   0.009763,   0.012430,   0.000100,   0.000011,   0.295623,  -0.000045,  -0.000045,   15.2400,   -1.8488
    2.500,     0.000,   0.327253,   0.003320,   0.009834,   0.013154,   0.000100,   0.000010,   0.275322,  -0.000044,  -0.000044,   15.2400,   -1.2849
    3.000,     0.000,   0.377192,   0.004109,   0.009949,   0.014058,   0.000100,   0.000010,   0.254542,  -0.000044,  -0.000044,   15.2400,   -0.8704
    3.500,     0.000,   0.427081,   0.005032,   0.010112,   0.015144,   0.000099,   0.000010,   0.233288,  -0.000044,  -0.000044,   15.2400,   -0.5528
    4.000,     0.000,   0.476916,   0.006090,   0.010328,   0.016418,   0.000099,   0.000009,   0.211576,  -0.000044,  -0.000044,   15.2400,   -0.3017
    4.500,     0.000,   0.526687,   0.007281,   0.010539,   0.017820,   0.000098,   0.000009,   0.189380,  -0.000043,  -0.000043,   15.2400,   -0.0980
    5.000,     0.000,   0.576388,   0.008604,   0.010752,   0.019356,   0.000098,   0.000008,   0.166706,  -0.000043,  -0.000043,   15.2400,    0.0704
    5.500,     0.000,   0.626012,   0.010060,   0.010950,   0.021010,   0.000097,   0.000008,   0.143556,  -0.000043,  -0.000043,   15.2400,    0.2122
    6.000,     0.000,   0.675551,   0.011646,   0.011161,   0.022807,   0.000097,   0.000007,   0.119949,  -0.000042,  -0.000042,   15.2400,    0.3331
    6.500,     0.000,   0.724998,   0.013361,   0.011398,   0.024759,   0.000096,   0.000007,   0.095898,  -0.000042,  -0.000042,   15.2400,    0.4376
    7.000,     0.000,   0.774346,   0.015205,   0.011635,   0.026841,   0.000096,   0.000007,   0.071399,  -0.000042,  -0.000042,   15.2400,    0.5288
    7.500,     0.000,   0.823588,   0.017176,   0.011919,   0.029095,   0.000095,   0.000006,   0.046479,  -0.000041,  -0.000041,   15.2400,    0.6090
    8.000,     0.000,   0.872717,   0.019272,   0.012215,   0.031487,   0.000095,   0.000006,   0.021135,  -0.000041,  -0.000041,   15.2400,    0.6803


