xflr5 v6.49

Plane name :, Datum+5
Polar name :, T1-50.0 ft/s-VLM2
Freestream speed :, 50.0 ft/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -2.000,     0.000,  -0.047088,   0.000057,   0.009724,   0.009781,   0.000107,   0.000015,  -0.037805,  -0.000048,  -0.000048,   15.2400,   -1.5014
   -1.500,     0.000,   0.003029,   0.000004,   0.009698,   0.009702,   0.000106,   0.000015,  -0.055409,  -0.000048,  -0.000048,   15.2400,   53.7509
   -1.000,     0.000,   0.053153,   0.000089,   0.009677,   0.009766,   0.000106,   0.000014,  -0.073485,  -0.000048,  -0.000048,   15.2400,    4.7966
   -0.500,     0.000,   0.103274,   0.000310,   0.009669,   0.009979,   0.000106,   0.000014,  -0.092021,  -0.000048,  -0.000048,   15.2400,    3.3605
    0.000,     0.000,   0.153386,   0.000669,   0.009666,   0.010335,   0.000105,   0.000013,  -0.111017,  -0.000048,  -0.000048,   15.2400,    2.8629
    0.500,     0.000,   0.203481,   0.001165,   0.009673,   0.010838,   0.000105,   0.000013,  -0.130466,  -0.000047,  -0.000047,   15.2400,    2.6104
    1.000,     0.000,   0.253552,   0.001798,   0.009668,   0.011466,   0.000105,   0.000012,  -0.150371,  -0.000047,  -0.000047,   15.2400,    2.4578
    1.500,     0.000,   0.303592,   0.002567,   0.009682,   0.012249,   0.000104,   0.000012,  -0.170712,  -0.000047,  -0.000047,   15.2400,    2.3555
    2.000,     0.000,   0.353592,   0.003473,   0.009775,   0.013248,   0.000104,   0.000011,  -0.191468,  -0.000047,  -0.000047,   15.2400,    2.2824
    2.500,     0.000,   0.403547,   0.004514,   0.009835,   0.014349,   0.000104,   0.000011,  -0.212663,  -0.000046,  -0.000047,   15.2400,    2.2274
    3.000,     0.000,   0.453447,   0.005690,   0.009947,   0.015636,   0.000103,   0.000010,  -0.234260,  -0.000046,  -0.000046,   15.2400,    2.1847
    3.500,     0.000,   0.503287,   0.007000,   0.010132,   0.017132,   0.000103,   0.000010,  -0.256212,  -0.000046,  -0.000046,   15.2400,    2.1505
    4.000,     0.000,   0.553058,   0.008443,   0.010387,   0.018830,   0.000102,   0.000009,  -0.278532,  -0.000046,  -0.000046,   15.2400,    2.1226
    4.500,     0.000,   0.602754,   0.010019,   0.010616,   0.020635,   0.000102,   0.000009,  -0.301286,  -0.000045,  -0.000045,   15.2400,    2.0995
    5.000,     0.000,   0.652367,   0.011727,   0.010850,   0.022577,   0.000101,   0.000009,  -0.324443,  -0.000045,  -0.000045,   15.2400,    2.0799
    5.500,     0.000,   0.701890,   0.013564,   0.011067,   0.024631,   0.000101,   0.000008,  -0.348005,  -0.000045,  -0.000045,   15.2400,    2.0633
    6.000,     0.000,   0.751315,   0.015531,   0.011300,   0.026830,   0.000100,   0.000008,  -0.371948,  -0.000044,  -0.000045,   15.2400,    2.0490
    6.500,     0.000,   0.800636,   0.017625,   0.011555,   0.029180,   0.000100,   0.000007,  -0.396264,  -0.000044,  -0.000044,   15.2400,    2.0365
    7.000,     0.000,   0.849846,   0.019846,   0.011813,   0.031659,   0.000099,   0.000007,  -0.420953,  -0.000044,  -0.000044,   15.2400,    2.0256
    7.500,     0.000,   0.898937,   0.022191,   0.012118,   0.034309,   0.000099,   0.000006,  -0.445987,  -0.000043,  -0.000044,   15.2400,    2.0161
    8.000,     0.000,   0.947903,   0.024659,   0.012435,   0.037094,   0.000098,   0.000006,  -0.471372,  -0.000043,  -0.000043,   15.2400,    2.0076


